LocalityID,GENERATION,FISHGROUP,RegionName,GrossWeightPrDay,MortalityByInputCount,EconomicFCR,InputCount,HarvestSuperiorGrossBiomass_KGRatio,EndWeightGross,TemperatureBackfill3m
14206,SF16,16.00.014,Finnmark,0.00867,0.105541,1.134724,100300.55,0.903793,6.3382592,6.362473
14206,SF16,16.00.015,Finnmark,0.008604,0.090738,1.034555,95942.43,0.997061,5.065526,6.941418
14206,SF16,16.00.016,Finnmark,0.009982,0.114773,1.187456,95400.01,0.891209,7.3150411,6.418101
14206,SF16,16.00.017,Finnmark,0.008758,0.108114,1.083896,102504.67,0.906273,6.4502011,6.396321
14206,SF16,16.00.018,Finnmark,0.008937,0.139341,1.140657,104747.21,0.922885,5.6843405,6.729092
14206,SF18,18.01.009,Finnmark,0.00868,0.214594,1.271555,105801.98,0.481378,5.8574685,6.04495
14206,SF18,18.01.010,Finnmark,0.00987,0.16061,1.245286,86305.97,0.688512,6.2863652,5.855492
14206,SF18,18.01.007,Finnmark,0.008009,0.28738,1.26449,148830.99,0.89346,5.7743899,6.004833
14206,SF18,18.01.005,Finnmark,0.010058,0.236237,1.291745,86801.99,0.551527,6.7450932,6.0598
14206,SF18,18.01.008,Finnmark,0.00739,0.161239,1.212772,149161.97,0.774208,5.3380749,6.000295
14206,SF18,18.01.006,Finnmark,0.010405,0.174622,1.205431,86134.97,0.683016,7.0340586,6.033929
14206,SF18,18.01.003,Finnmark,0.009741,0.115163,1.095476,81253.99,0.882382,4.9462058,6.794743
14206,SF18,18.01.004,Finnmark,0.009512,0.104602,1.087663,82768.99,0.903885,4.913868,6.794696
14206,SF18,18.01.001,Finnmark,0.008669,0.22431,1.38284,122124.97,0.480688,5.3772762,6.487743
14206,SF18,18.01.002,Finnmark,0.008461,0.19289,1.218693,125060.97,0.504191,5.2232106,6.519486
14206,SF20,20.01.001,Finnmark,0.010903,0.079524,1.19057,99289.97,0.9239,5.5393795,7.041432
14400,SS18,18.01.001,Finnmark,0.006801,0.073755,1.234328,156601.96,0.944541,4.4208622,5.975598
14400,SS18,18.02.005,Finnmark,0.006765,0.175539,1.271515,179154.64,0.739761,4.3884741,5.975767
14400,SS18,18.01.003,Finnmark,0.007215,0.173143,1.340304,194802.97,0.869105,4.8287702,6.07575
14400,SS18,18.01.006,Finnmark,0.005571,0.134642,1.455455,196902.97,0.542196,4.206329,5.729536
14400,SS18,18.01.007,Finnmark,0.005158,0.191967,1.506143,166953.98,0.417798,4.193714,5.423805
14400,SS18,18.01.008,Finnmark,0.005819,0.30245,1.646343,124901.98,0.214534,4.5365048,5.324052
14400,SS18,18.0A.003,Finnmark,0.007069,0.119847,1.154595,178996.3,0.862328,4.5846812,5.896549
14400,SS18,18.01.009,Finnmark,0.006818,0.214563,1.41469,124033.96,0.455475,4.7390292,5.615531
14400,SS18,18.01.005,Finnmark,0.005999,0.094546,1.278673,145878.98,0.876845,4.2613359,6.008696
14400,SS18,18.01.004,Finnmark,0.006938,0.068387,1.160962,148772.98,0.985776,4.5834069,6.118125
14400,SS18,18.01.002,Finnmark,0.006427,0.074798,1.208572,174934.95,0.977587,4.1610517,5.926881
14400,SS18,18.02.001,Finnmark,0.00694,0.192632,1.057209,198539.97,0.972461,4.4918164,6.144101
14400,SS18,18.01.012,Finnmark,0.004473,0.240477,1.690939,180018.97,0.377242,3.6693407,5.339584
14400,SS18,18.01.011,Finnmark,0.00467,0.169915,1.50255,198506.97,0.534129,3.781541,5.364711
14400,SS18,18.0A.001,Finnmark,0.006895,0.129694,1.269223,196474.86,0.850278,4.9614406,5.99372
14400,SS18,18.0A.002,Finnmark,0.00571,0.233233,1.326625,218365.87,0.388782,4.5926715,5.436379
